trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9}",25,0,-56.05409201817141,"{0: 17, 1: 6, 2: 1, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9}",25,0,-79.73892323096644,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9}",20,0,-60.573550591525446,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9}",20,0,-265.43098574954786,"{0: 8, 1: 3, 2: 2, 3: 2, 4: 5}",0
5,False,"{'a': 0.5, 'e': 0.9}",25,0,-179.12323242028418,"{0: 14, 1: 4, 2: 3, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.9}",20,0,-202.51056380619968,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.9}",25,0,-127.23821720748367,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9}",20,0,-103.59371055221496,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9}",30,8,-63.51355848397,"{0: 13, 1: 2, 2: 7, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.9}",35,0,-175.9329902571769,"{0: 21, 1: 2, 2: 9, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.9}",25,0,-228.3191060041272,"{0: 14, 1: 2, 2: 3, 3: 2, 4: 4}",0
12,False,"{'a': 0.5, 'e': 0.9}",25,0,-178.77466714732836,"{0: 9, 1: 6, 2: 6, 3: 3, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9}",20,8,-16.909464632775947,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.9}",20,0,-83.01366300688825,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.9}",20,0,-173.90124982565095,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.9}",20,0,-104.49999463048306,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.9}",25,0,-119.1029159453683,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9}",25,0,-96.97684498230164,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.9}",20,0,-145.1779904776043,"{0: 11, 1: 3, 2: 2, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.9}",30,0,-165.39073298944066,"{0: 13, 1: 5, 2: 10, 3: 1, 4: 1}",0
