trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,14,-34.263529798225484,"{0: 5, 1: 5, 2: 0, 3: 1, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.93941306281347581}",25,0,-196.89887233860276,"{0: 14, 1: 1, 2: 5, 3: 2, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.88249690258459546}",30,0,-125.14435491909312,"{0: 16, 1: 5, 2: 8, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.82902911818040037}",25,19,0.3789829256520434,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.77880078307140488}",30,0,-157.62332602667692,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.73161562894664178}",30,0,-95.6305845451957,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.68728927879097224}",25,0,-25.503632478496147,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.64564852642789206}",30,18,-6.068294782740096,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.60653065971263342}",20,0,-116.85143585524213,"{0: 12, 1: 1, 2: 3, 3: 3, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.56978282473092301}",25,16,15.484854093088119,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.53526142851899028}",30,9,21.6679712001627,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.50283157797094091}",35,16,-31.754476154582722,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.47236655274101469}",20,8,16.049933938509533,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.44374731008107987}",30,8,-56.30245045486454,"{0: 16, 1: 2, 2: 3, 3: 0, 4: 1}",1
