trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-67.1043296065945,"{0: 13, 1: 7, 2: 5, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.93941306281347581}",20,0,-143.74403589478473,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",1
3,False,"{'a': 0.5, 'e': 0.88249690258459546}",30,0,-174.53463994137,"{0: 15, 1: 4, 2: 9, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.82902911818040037}",25,0,-101.48666645296925,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.77880078307140488}",25,0,-22.52172670728183,"{0: 22, 1: 0, 2: 1, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.73161562894664178}",25,0,-101.32679512888942,"{0: 14, 1: 6, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.68728927879097224}",25,0,-104.22548028389681,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.64564852642789206}",25,0,-63.083928165003975,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.60653065971263342}",20,0,-151.4413370205667,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.56978282473092301}",20,0,-45.708052608000976,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.53526142851899028}",25,0,3.701030902618859,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.50283157797094091}",20,15,9.360755119436305,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.47236655274101469}",25,0,-16.288663211510322,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.44374731008107987}",20,0,-53.5160210947811,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.41686201967850839}",20,12,-2.557932560502384,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.39160562667679899}",25,15,-14.60355840900891,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.36787944117144233}",30,14,-1.9254263228102229,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.34559075257697452}",20,9,18.66682439049336,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.32465246735834974}",30,0,-17.425190403462505,"{0: 24, 1: 2, 2: 4, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.30498276871105928}",30,6,-14.827364582462636,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.28650479686019009}",25,16,-2.921348276454445,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.26914634872918386}",20,0,-49.32935308277661,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",1
23,False,"{'a': 0.5, 'e': 0.25283959580474646}",20,13,6.371627945025388,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.23752081909545814}",20,6,-9.87544429411598,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.22313016014842982}",20,7,-31.44822819504013,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.20961138715109781}",20,0,-11.019407395494445,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.19691167520419406}",25,2,-24.94424010587072,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 1}",1
28,False,"{'a': 0.5, 'e': 0.18498139990730428}",25,16,6.940492077611392,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.17377394345044514}",25,8,4.882278035363178,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.16324551245395841}",30,0,-2.6367135138072952,"{0: 26, 1: 2, 2: 1, 3: 1, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.15335496684492847}",30,12,-22.420486134018443,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
32,False,"{'a': 0.5, 'e': 0.14406365910145327}",20,3,23.96959606603341,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.1353352832366127}",30,19,14.06538019752706,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.12713573293203559}",25,18,-8.815276374971463,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.11943296826671962}",30,16,-1.676787770308888,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.11219689052034373}",20,12,11.627132977445214,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.10539922456186433}",25,11,21.474836799874094,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.0990134083638263}",30,16,23.921570877654332,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.093014489210663492}",20,8,23.252017584958036,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.087379026195420387}",20,12,2.6187517827670295,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.0820849986238988}",20,3,-17.969909830625024,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
42,False,"{'a': 0.5, 'e': 0.077111719968316714}",20,0,20.129030611217363,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.072439757034251456}",20,16,6.351109961154094,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.068050854025010196}",25,16,15.267626452362302,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.06392786120670757}",25,0,32.01374420633888,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.060054667895307945}",25,10,25.325027271627775,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.05641613950377735}",20,0,28.408718967013716,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.052998058403355801}",25,13,24.470484075986352,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.049787068367863944}",30,13,18.188735527341645,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.04677062238395898}",20,6,24.63817548563946,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.04393693362340742}",30,16,-27.755661916341655,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
52,False,"{'a': 0.5, 'e': 0.041274929385797549}",30,15,31.56739439011931,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.038774207831722009}",25,13,23.555660792058752,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.036424997337364234}",30,11,26.60688835459396,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.034218118311666032}",25,3,34.07047207229823,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.032144947326876068}",20,7,-19.60157878499652,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
57,False,"{'a': 0.5, 'e': 0.030197383422318501}",25,13,25.74661785791685,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.028367816449713101}",25,10,30.315434251154386,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.026649097336355485}",20,14,7.793248714086664,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.025034510149960148}",30,22,16.489885988608272,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.023517745856009107}",35,23,22.657298165806118,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.022092877665062443}",20,5,23.61321703199553,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.020754337873699742}",20,3,21.825168649949955,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.019496896108597995}",20,13,10.825099596435496,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.018315638888734179}",20,11,12.454793832022597,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.017205950425851383}",25,18,14.048048929593826,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.016163494588165874}",25,18,4.855727935749444,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.015184197956837946}",25,12,15.750902500631518,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.014264233908999256}",30,15,24.025337263364996,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.013400007665140828}",20,8,17.327073583456006,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.012588142242433998}",30,14,25.82053612271236,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.011825465259096618}",20,11,15.265230975112878,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.011108996538242306}",25,16,16.403155065290893,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.010435936462774504}",20,9,24.46082949187901,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.0098036550358218278}",30,20,17.82685089913413,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.0092096816039681402}",20,12,13.706399923697909,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.0086516952031206341}",20,16,8.33008587561874,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.008127515489292211}",30,15,25.557685081260708,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.0076350942188599617}",20,10,16.732871763997906,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.0071725072450086989}",20,10,15.653303900972196,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
