trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-171.23367939116446,"{0: 13, 1: 6, 2: 3, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.93941306281347581}",20,0,-117.18999964312783,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.88249690258459546}",25,0,-101.92744501937153,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.82902911818040037}",30,0,-144.64999530358483,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.77880078307140488}",20,0,-40.93666061442045,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.73161562894664178}",20,0,-21.13963717945018,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.68728927879097224}",20,0,-70.38588751313881,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.64564852642789206}",25,0,-156.07354832430602,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.60653065971263342}",20,0,-139.00722681471092,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.56978282473092301}",20,0,-102.51870688706177,"{0: 10, 1: 1, 2: 7, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.53526142851899028}",35,0,-270.1589790196905,"{0: 19, 1: 3, 2: 6, 3: 3, 4: 4}",0
12,False,"{'a': 0.5, 'e': 0.50283157797094091}",25,0,-78.60175830961732,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.47236655274101469}",20,0,-160.08558475286168,"{0: 8, 1: 3, 2: 7, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.44374731008107987}",25,0,-123.1779211961754,"{0: 11, 1: 6, 2: 5, 3: 3, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.41686201967850839}",25,0,-238.98939943841538,"{0: 11, 1: 3, 2: 7, 3: 0, 4: 4}",0
16,False,"{'a': 0.5, 'e': 0.39160562667679899}",20,0,-63.736732513503505,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.36787944117144233}",20,0,-134.22793804607505,"{0: 7, 1: 4, 2: 6, 3: 3, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.34559075257697452}",20,0,-120.17500206999088,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.32465246735834974}",25,0,-185.97664156010757,"{0: 15, 1: 0, 2: 6, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.30498276871105928}",25,0,-112.66500354416594,"{0: 12, 1: 3, 2: 9, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,-89.5345219951638,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",20,10,-15.943977782240784,"{0: 6, 1: 3, 2: 1, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,1,-143.27485113328163,"{0: 14, 1: 4, 2: 2, 3: 2, 4: 2}",1
4,True,"{'a': 0, 'e': 0}",35,0,-180.03602684943814,"{0: 17, 1: 5, 2: 11, 3: 1, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",20,0,-117.5522363882192,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",30,0,-149.4343948294267,"{0: 15, 1: 6, 2: 7, 3: 1, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",30,0,-59.95984672639539,"{0: 19, 1: 6, 2: 5, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",25,12,-137.90741311544429,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 3}",1
9,True,"{'a': 0, 'e': 0}",20,0,-118.76702762372841,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",20,0,-156.8192877803825,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
